Accident_Index,Accident Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
BS0000025,1/31/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.499201,Darkness - lights lit,Kensington and Chelsea,None,-0.164404,2,2,Metropolitan Police,Dry,Single carriageway,30,22:30,Urban,Fine no high winds,Car
BS0000026,1/31/2021,Saturday,Give way or uncontrolled,T or staggered junction,Serious,51.517081,Daylight,Kensington and Chelsea,None,-0.204042,2,1,Metropolitan Police,Dry,Single carriageway,30,13:50,Urban,Fine no high winds,Car
BS0000027,1/29/2021,Thursday,Auto traffic signal,Crossroads,Slight,51.48944,Daylight,Kensington and Chelsea,None,-0.190148,1,1,Metropolitan Police,Dry,Single carriageway,30,8:20,Urban,Fine no high winds,Car
BS0000028,1/31/2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.494521,Daylight,Kensington and Chelsea,None,-0.158397,1,2,Metropolitan Police,Dry,Single carriageway,20,12:03,Urban,Fine no high winds,Car
BS0000029,1/29/2021,Thursday,Auto traffic signal,Crossroads,Slight,51.508624,Daylight,Kensington and Chelsea,None,-0.203799,1,2,Metropolitan Police,Dry,Single carriageway,30,15:50,Urban,Fine no high winds,Car
BS0000030,1/31/2021,Saturday,Auto traffic signal,Crossroads,Slight,51.491173,Darkness - lights lit,Kensington and Chelsea,None,-0.18014,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,1:01,Urban,Fine no high winds,Car
BS0000031,1/28/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.495478,Daylight,Kensington and Chelsea,None,-0.202731,1,1,Metropolitan Police,Wet or damp,One way street,30,7:45,Urban,Raining no high winds,Car
BS0000032,1/27/2021,Tuesday,Auto traffic signal,Crossroads,Serious,51.495658,Daylight,Kensington and Chelsea,None,-0.173622,1,2,Metropolitan Police,Dry,Single carriageway,30,12:30,Urban,Fine no high winds,Car
BS0000033,1/31/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.499727,Daylight,Kensington and Chelsea,None,-0.163518,1,2,Metropolitan Police,Dry,Dual carriageway,30,10:08,Urban,Fine no high winds,Car
BS0000034,1/22/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.507802,Darkness - lights lit,Kensington and Chelsea,None,-0.202966,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,16:19,Urban,Fine no high winds,Car
BS0000035,1/29/2021,Thursday,Auto traffic signal,T or staggered junction,Slight,51.508972,Darkness - lights lit,Kensington and Chelsea,None,-0.197156,1,1,Metropolitan Police,Dry,Single carriageway,30,20:35,Urban,Fine no high winds,Car
BS0000036,1/20/2021,Tuesday,Auto traffic signal,T or staggered junction,Slight,51.513036,Daylight,Kensington and Chelsea,None,-0.204201,1,1,Metropolitan Police,Dry,Single carriageway,30,13:27,Urban,Fine no high winds,Car
BS0000037,1/17/2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.512443,Daylight,Kensington and Chelsea,None,-0.206531,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,11:00,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000038,1/15/2021,Thursday,Give way or uncontrolled,T or staggered junction,Serious,51.491908,Daylight,Kensington and Chelsea,None,-0.192787,1,1,Metropolitan Police,Dry,Single carriageway,30,11:30,Urban,Fine no high winds,Car
BS0000039,2/9/2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.497811,Daylight,Kensington and Chelsea,None,-0.202351,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,9:15,Urban,Raining no high winds,Car
BS0000040,1/28/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.486273,Daylight,Kensington and Chelsea,None,-0.171549,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,11:15,Urban,Raining no high winds,Car
BS0000041,1/23/2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.500738,Daylight,Kensington and Chelsea,None,-0.193879,2,1,Metropolitan Police,Wet or damp,Single carriageway,30,11:15,Urban,Fine no high winds,Car
BS0000042,1/26/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.50012,Daylight,Kensington and Chelsea,None,-0.1599,1,2,Metropolitan Police,Dry,Single carriageway,30,14:40,Urban,Fine no high winds,Car
BS0000043,2/3/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.49209,Daylight,Kensington and Chelsea,None,-0.192924,1,1,Metropolitan Police,Dry,One way street,30,9:58,Urban,Fine no high winds,Car
BS0000044,2/10/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.49105,Daylight,Kensington and Chelsea,None,-0.160698,1,2,Metropolitan Police,Wet or damp,One way street,30,8:10,Urban,Fine no high winds,Car
BS0000045,1/30/2021,Friday,Auto traffic signal,Roundabout,Slight,51.504672,Daylight,Hammersmith and Fulham,None,-0.215914,1,2,Metropolitan Police,Dry,Dual carriageway,30,8:28,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t
BS0000046,1/28/2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.506379,Darkness - lights lit,Kensington and Chelsea,None,-0.204031,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,19:53,Urban,Raining no high winds,Car
BS0000047,1/29/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.480175,Daylight,Kensington and Chelsea,None,-0.178417,1,2,Metropolitan Police,Dry,Single carriageway,30,14:05,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000048,2/10/2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.491836,Darkness - lights lit,Kensington and Chelsea,None,-0.159225,1,1,Metropolitan Police,Dry,Single carriageway,30,23:55,Urban,Fine no high winds,Car
BS0000049,2/10/2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.516717,Daylight,Kensington and Chelsea,None,-0.209678,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,8:35,Urban,Fine no high winds,Car
BS0000050,2/12/2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.490115,Daylight,Kensington and Chelsea,None,-0.193146,1,2,Metropolitan Police,Dry,Single carriageway,30,7:53,Urban,Fine no high winds,Car
BS0000051,2/16/2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.508943,Daylight,Kensington and Chelsea,None,-0.195284,1,1,Metropolitan Police,Dry,Single carriageway,30,12:00,Urban,Fine no high winds,Car
BS0000052,2/16/2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.493264,Daylight,Kensington and Chelsea,None,-0.199072,1,2,Metropolitan Police,Dry,Dual carriageway,30,8:25,Urban,Fine no high winds,Car
BS0000053,2/14/2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.484765,Darkness - lights lit,Kensington and Chelsea,None,-0.155621,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,21:06,Urban,Fine no high winds,Car
BS0000054,2/18/2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.481746,Daylight,Kensington and Chelsea,None,-0.17533,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,7:09,Urban,Fine no high winds,Car
BS0000055,2/21/2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.487666,Darkness - lights lit,Kensington and Chelsea,None,-0.180135,2,1,Metropolitan Police,Dry,Single carriageway,30,20:42,Urban,Fine no high winds,Car
BS0000056,2/15/2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.501516,Darkness - lights lit,Kensington and Chelsea,None,-0.191831,1,1,Metropolitan Police,Dry,Single carriageway,30,0:35,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000057,2/21/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.487794,Daylight,Kensington and Chelsea,None,-0.182579,1,2,Metropolitan Police,Dry,One way street,30,10:15,Urban,Fine no high winds,Car
BS0000058,2/12/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.502058,Darkness - lights lit,Kensington and Chelsea,None,-0.18619,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,16:50,Urban,Snowing no high winds,Car
BS0000059,2/12/2021,Thursday,Auto traffic signal,T or staggered junction,Slight,51.500994,Daylight,Kensington and Chelsea,None,-0.193004,1,1,Metropolitan Police,Dry,Single carriageway,30,12:20,Urban,Fine no high winds,Car
BS0000060,2/20/2021,Friday,Give way or uncontrolled,Roundabout,Slight,51.523977,Darkness - lights lit,Kensington and Chelsea,None,-0.214006,1,2,Metropolitan Police,Dry,Roundabout,30,23:15,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000061,2/27/2021,Friday,Give way or uncontrolled,Crossroads,Slight,51.484368,Daylight,Kensington and Chelsea,None,-0.170473,1,1,Metropolitan Police,Dry,Single carriageway,30,15:40,Urban,Fine no high winds,Car
BS0000062,1/18/2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.501169,Darkness - lights lit,Kensington and Chelsea,None,-0.192709,1,1,Metropolitan Police,Dry,Single carriageway,30,16:46,Urban,Fine no high winds,Car
BS0000063,2/7/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.48299,Daylight,Kensington and Chelsea,None,-0.185939,2,2,Metropolitan Police,Dry,Single carriageway,30,12:25,Urban,Fine no high winds,Car
BS0000064,2/23/2021,Monday,Give way or uncontrolled,Roundabout,Slight,51.515582,Daylight,Kensington and Chelsea,None,-0.205975,1,2,Metropolitan Police,Dry,Roundabout,30,13:23,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000065,2/22/2021,Sunday,Give way or uncontrolled,T or staggered junction,Serious,51.48375,Darkness - lights lit,Kensington and Chelsea,None,-0.165456,1,2,Metropolitan Police,Dry,Single carriageway,30,17:30,Urban,Fine no high winds,Car
BS0000066,2/26/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.490919,Darkness - lights lit,Kensington and Chelsea,None,-0.181158,1,2,Metropolitan Police,Dry,Single carriageway,30,22:55,Urban,Fine no high winds,Car
BS0000067,1/16/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.500731,Daylight,Kensington and Chelsea,None,-0.193447,1,2,Metropolitan Police,Dry,Dual carriageway,30,16:05,Urban,Fine no high winds,Car
BS0000068,2/18/2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.513804,Daylight,Kensington and Chelsea,None,-0.213251,2,2,Metropolitan Police,Wet or damp,Single carriageway,30,8:36,Urban,Other,Car
BS0000069,3/4/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.494663,Darkness - lights lit,Kensington and Chelsea,None,-0.190661,1,2,Metropolitan Police,Dry,Single carriageway,30,21:45,Urban,Fine no high winds,Car
BS0000070,3/3/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.497543,Daylight,Kensington and Chelsea,None,-0.16764,1,2,Metropolitan Police,Dry,Dual carriageway,30,8:55,Urban,Fine no high winds,Car
BS0000071,3/3/2021,Tuesday,Give way or uncontrolled,Crossroads,Slight,51.517475,Daylight,Kensington and Chelsea,None,-0.206333,2,2,Metropolitan Police,Dry,Single carriageway,30,8:30,Urban,Fine no high winds,Car
BS0000072,3/3/2021,Tuesday,Give way or uncontrolled,Crossroads,Slight,51.485759,Darkness - lights lit,Kensington and Chelsea,None,-0.173154,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,20:20,Urban,Raining no high winds,Motorcycle over 500cc
BS0000073,3/4/2021,Wednesday,Give way or uncontrolled,Mini-roundabout,Slight,51.517796,Daylight,Kensington and Chelsea,None,-0.215545,3,2,Metropolitan Police,Dry,Roundabout,30,14:51,Urban,Fine no high winds,Motorcycle 50cc and under
BS0000074,3/6/2021,Friday,Auto traffic signal,Crossroads,Slight,51.497048,Daylight,Kensington and Chelsea,None,-0.159015,1,2,Metropolitan Police,Dry,Single carriageway,30,6:35,Urban,Fine no high winds,Car
BS0000075,2/17/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Serious,51.497103,Darkness - lights lit,Kensington and Chelsea,None,-0.168234,1,1,Metropolitan Police,Dry,Single carriageway,30,19:11,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000076,3/3/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Serious,51.512346,Darkness - lights lit,Kensington and Chelsea,None,-0.21792,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,20:26,Urban,Raining no high winds,Taxi/Private hire car
BS0000077,2/20/2021,Friday,Auto traffic signal,Crossroads,Slight,51.485757,Daylight,Kensington and Chelsea,None,-0.150108,1,2,Metropolitan Police,Dry,Single carriageway,30,11:30,Urban,Fine no high winds,Car
BS0000078,2/18/2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.500856,Daylight,Kensington and Chelsea,None,-0.184076,1,2,Metropolitan Police,Dry,Single carriageway,30,13:00,Urban,Fine no high winds,Car
BS0000079,3/9/2021,Monday,Auto traffic signal,Crossroads,Slight,51.492471,Daylight,Kensington and Chelsea,None,-0.200112,1,2,Metropolitan Police,Dry,Single carriageway,30,13:27,Urban,Fine no high winds,Car
BS0000080,3/9/2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.518131,Daylight,Kensington and Chelsea,None,-0.213947,1,2,Metropolitan Police,Dry,Single carriageway,30,15:30,Urban,Fine no high winds,Car
BS0000081,3/10/2021,Tuesday,Give way or uncontrolled,Roundabout,Serious,51.504784,Daylight,Hammersmith and Fulham,None,-0.21735,1,2,Metropolitan Police,Dry,Roundabout,30,13:30,Urban,Fine no high winds,Car
BS0000082,2/10/2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.483345,Daylight,Kensington and Chelsea,None,-0.185636,1,1,Metropolitan Police,Dry,One way street,30,16:50,Urban,Fine no high winds,Car
BS0000083,3/9/2021,Monday,Auto traffic signal,Crossroads,Slight,51.48115,Daylight,Kensington and Chelsea,None,-0.183275,1,3,Metropolitan Police,Dry,Single carriageway,30,10:40,Urban,Fine no high winds,Car
BS0000084,3/2/2021,Monday,Give way or uncontrolled,Crossroads,Slight,51.49266,Daylight,Kensington and Chelsea,None,-0.160201,1,2,Metropolitan Police,Dry,Single carriageway,30,7:40,Urban,Fine no high winds,Car
BS0000085,2/25/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.491935,Daylight,Kensington and Chelsea,None,-0.194515,1,2,Metropolitan Police,Dry,One way street,30,12:58,Urban,Fine no high winds,Car
BS0000086,3/6/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.482328,Darkness - lights lit,Kensington and Chelsea,None,-0.172282,2,2,Metropolitan Police,Dry,Single carriageway,30,17:30,Urban,Fine no high winds,Car
BS0000087,3/14/2021,Saturday,Auto traffic signal,Crossroads,Slight,51.481572,Daylight,Kensington and Chelsea,None,-0.18153,1,2,Metropolitan Police,Dry,Single carriageway,30,17:04,Urban,Fine no high winds,Car
BS0000088,2/20/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.49892,Darkness - lights lit,Kensington and Chelsea,None,-0.157931,1,2,Metropolitan Police,Dry,Single carriageway,30,18:15,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
BS0000089,3/9/2021,Monday,Give way or uncontrolled,Crossroads,Slight,51.490315,Daylight,Kensington and Chelsea,None,-0.177005,1,1,Metropolitan Police,Dry,Single carriageway,30,15:53,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000090,2/26/2021,Thursday,Auto traffic signal,Crossroads,Slight,51.484361,Daylight,Kensington and Chelsea,None,-0.175802,1,2,Metropolitan Police,Dry,Single carriageway,30,13:45,Urban,Fine no high winds,Car
BS0000091,2/28/2021,Saturday,Auto traffic signal,Crossroads,Slight,51.489535,Darkness - lights lit,Kensington and Chelsea,None,-0.155861,1,2,Metropolitan Police,Dry,Single carriageway,30,6:12,Urban,Fine no high winds,Car
BS0000092,2/23/2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.493429,Daylight,Kensington and Chelsea,None,-0.174864,1,2,Metropolitan Police,Dry,Single carriageway,30,12:33,Urban,Fine no high winds,Car
BS0000093,2/11/2021,Wednesday,Give way or uncontrolled,Crossroads,Serious,51.488481,Daylight,Kensington and Chelsea,None,-0.157488,1,2,Metropolitan Police,Dry,Single carriageway,30,8:40,Urban,Fine no high winds,Car
BS0000094,3/1/2021,Sunday,Auto traffic signal,Crossroads,Slight,51.484361,Daylight,Kensington and Chelsea,None,-0.175802,1,2,Metropolitan Police,Dry,Single carriageway,30,13:05,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000095,3/13/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.483603,Daylight,Kensington and Chelsea,None,-0.184906,1,2,Metropolitan Police,Dry,Single carriageway,30,17:30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000096,3/4/2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.486622,Daylight,Kensington and Chelsea,None,-0.170814,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,7:05,Urban,Fine no high winds,Car
BS0000097,2/7/2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.504966,Daylight,Kensington and Chelsea,None,-0.194,1,1,Metropolitan Police,Dry,Single carriageway,30,13:15,Urban,Other,Car
BS0000098,3/17/2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.49566,Darkness - lights lit,Kensington and Chelsea,None,-0.173766,1,1,Metropolitan Police,Dry,Single carriageway,30,23:00,Urban,Fine no high winds,Car
BS0000099,2/24/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Serious,51.490535,Daylight,Kensington and Chelsea,None,-0.173827,1,2,Metropolitan Police,Dry,Single carriageway,30,8:00,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
BS0000100,3/20/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.486213,Daylight,Kensington and Chelsea,None,-0.173423,1,2,Metropolitan Police,Dry,Single carriageway,30,8:59,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000101,2/5/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.506775,Daylight,Kensington and Chelsea,None,-0.194649,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,8:40,Urban,Raining no high winds,Car
BS0000102,3/20/2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.486977,Darkness - lights lit,Kensington and Chelsea,None,-0.187941,1,3,Metropolitan Police,Dry,One way street,30,20:18,Urban,Fine no high winds,Car
BS0000103,3/20/2021,Friday,Give way or uncontrolled,T or staggered junction,Serious,51.509794,Daylight,Kensington and Chelsea,None,-0.197988,1,1,Metropolitan Police,Dry,Single carriageway,30,15:00,Urban,Fine no high winds,Taxi/Private hire car
BS0000104,1/20/2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.492565,Darkness - lights lit,Kensington and Chelsea,None,-0.200396,2,2,Metropolitan Police,Dry,Single carriageway,30,22:15,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000105,3/21/2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.486608,Daylight,Kensington and Chelsea,None,-0.169951,1,3,Metropolitan Police,Dry,Single carriageway,30,16:20,Urban,Fine no high winds,Motorcycle 50cc and under
BS0000106,3/24/2021,Tuesday,Give way or uncontrolled,Crossroads,Slight,51.485669,Daylight,Kensington and Chelsea,None,-0.173157,1,2,Metropolitan Police,Dry,Single carriageway,30,10:15,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000107,3/23/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.488776,Daylight,Kensington and Chelsea,None,-0.176346,1,2,Metropolitan Police,Dry,Single carriageway,30,8:15,Urban,Fine no high winds,Motorcycle over 500cc
BS0000108,3/23/2021,Monday,Auto traffic signal,Crossroads,Slight,51.48226,Daylight,Kensington and Chelsea,None,-0.173725,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,16:13,Urban,Raining no high winds,Car
BS0000109,3/23/2021,Monday,Auto traffic signal,T or staggered junction,Serious,51.483642,Darkness - lights lit,Kensington and Chelsea,None,-0.164308,1,1,Metropolitan Police,Dry,Single carriageway,30,19:42,Urban,Fine no high winds,Car
BS0000110,3/24/2021,Tuesday,Give way or uncontrolled,Crossroads,Serious,51.491834,Darkness - lights lit,Kensington and Chelsea,None,-0.164844,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,22:22,Urban,Raining no high winds,Car
BS0000111,3/24/2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.491921,Daylight,Kensington and Chelsea,None,-0.158934,1,1,Metropolitan Police,Dry,Single carriageway,30,14:12,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000112,3/24/2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.520593,Daylight,Kensington and Chelsea,None,-0.210247,1,1,Metropolitan Police,Dry,Single carriageway,30,7:53,Urban,Fine no high winds,Car
BS0000113,3/21/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.486624,Daylight,Kensington and Chelsea,None,-0.170958,1,2,Metropolitan Police,Dry,Single carriageway,30,9:50,Urban,Fine no high winds,Car
BS0000114,3/25/2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.516402,Daylight,Kensington and Chelsea,None,-0.218482,1,2,Metropolitan Police,Dry,Single carriageway,30,15:50,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
